mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
820.627_10.414,18044.77034778041,13858.04217546238,0.7679810775295892,7.09e-4,-0.3808573304129854,3.1493537648169334,820.627,10.414,14667.743,820.627_10.414,820.627_10.414,1
821.6139_9.026,11008.117100080543,9236.278064680973,0.8390424975233407,0.00187,-0.2531842098319819,2.728158393463501,821.6139,9.026,9363.601,821.6139_9.026,821.6139_9.026,1
821.6152_8.817,5328.749027332901,6347.846746882228,1.1912452086450385,0.00646,0.2524704114255059,2.1897674820049158,821.6152,8.817,6027.82,821.6152_8.817,821.6152_8.817,1
822.5774_8.941,36645.20395728065,30466.734333538756,0.8313975921393566,0.00807,-0.2663895251950309,2.0931264652779293,822.5774,8.941,34867.887,822.5774_8.941,822.5774_8.941,1
824.5441_6.359,197761.8404505399,157389.019614452,0.7958513091094279,0.0403,-0.329429181264732,1.3946949538588904,824.5441,6.359,178187.53,Cluster_824.5441_6.359,814.5148_6.359;824.5441_6.359;892.531_6.359,3
824.5789_7.841,4616.552255477183,5481.955738689408,1.1874566636141701,0.0349,0.24787486306061926,1.45717457304082,824.5789,7.841,4966.6035,824.5789_7.841,824.5789_7.841,1
827.6272_7.905,15819.446971345815,20815.55852397742,1.3158208729850793,0.00103,0.3959631036282581,2.9871627752948275,827.6272,7.905,17602.617,827.6272_7.905,827.6272_7.905,1
828.6559_10.414,30023.877706880976,24899.724949994747,0.82933074778306,0.00355,-0.2699805130416743,2.449771646944906,828.6559,10.414,24620.148,828.6559_10.414,828.6559_10.414,1
829.6431_8.816,54307.38855336739,63747.77368333261,1.1738324265157445,0.015,0.23122646748522854,1.8239087409443189,829.6431,8.816,56830.2,829.6431_8.816,829.6431_8.816,1
829.6432_9.024,143458.65787604946,122048.9028984403,0.8507601054227935,7.59e-4,-0.23317571210376198,3.1197582241045194,829.6432,9.024,117616.805,829.6432_9.024,829.6432_9.024,1
831.6576_9.28,3981.3991725027972,5665.852214908799,1.4230806732566625,0.0152,0.509017449361457,1.8181564120552274,831.6576,9.28,4799.041,831.6576_9.28,831.6576_9.28,1
831.659_9.98,197864.25617218937,166091.2382377346,0.839420122921016,0.0028,-0.25253504637597635,2.5528419686577806,831.659,9.98,173642.95,Cluster_831.659_9.98,821.6298_9.976;831.659_9.98;899.6459_9.978,3
832.6067_8.94,195976.2043954551,158068.8084568207,0.8065714352639359,0.0154,-0.31012578129927026,1.812479279163537,832.6067,8.94,182574.25,Cluster_832.6067_8.94,832.6067_8.94;900.5936_8.939,2
833.6294_9.395,7499.468635451869,9289.469454214213,1.238683686241524,0.00273,0.3088078238365117,2.563837352959244,833.6294,9.395,7996.6504,833.6294_9.395,833.6294_9.395,1
834.5643_7.242,15346.52953899076,17788.74945723967,1.1591382541599382,0.018,0.21305265150005107,1.744727494896694,834.5643,7.242,16584.709,834.5643_7.242,834.5643_7.242,1
