mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1546.1749_7.78,10611.190405252899,8505.506984988206,0.8015601134419086,0.00964,-0.3191173747415468,2.015922966097169,1546.1749,7.78,9407.321,1546.1749_7.78,1546.1749_7.78,1
1547.1793_7.789,9729.525681953264,8383.361651786368,0.8616413508560014,0.0306,-0.2148406072575851,1.51427857351842,1547.1793,7.789,8886.707,1547.1793_7.789,1547.1793_7.789,1
1547.1803_7.856,9260.307131656806,7566.042399571928,0.8170401145451265,0.0171,-0.29152118220233997,1.7670038896078462,1547.1803,7.856,8285.769,1547.1803_7.856,1547.1803_7.856,1
1550.1138_6.449,6988.785113582794,9964.934472982226,1.4258464541448337,2.51e-4,0.511818629908849,3.600326278518962,1550.1138,6.449,8841.812,Cluster_1550.1138_6.449,1550.1138_6.449;1551.1176_6.447,2
1550.1483_7.401,11873.641960278515,16888.073980241097,1.422316256186401,8.3e-4,0.508242288095514,3.0809219076239263,1550.1483,7.401,15953.924,Cluster_1550.1483_7.401,1550.1483_7.401;1550.1497_7.403;1551.1527_7.401,3
1556.1613_7.323,15893.48065459628,19255.085576039437,1.2115084162178789,0.0473,0.2768044270704167,1.3251388592621884,1556.1613,7.323,18491.977,Cluster_1556.1613_7.323,1556.1613_7.323;1557.1645_7.322,2
1558.1201_7.783,7619.712522071576,9356.532553950972,1.2279377373947444,0.019,0.2962374106843873,1.7212463990471711,1558.1201,7.783,7975.745,Cluster_1558.1201_7.783,1558.1201_7.783;1559.1256_7.781,2
1558.1745_7.924,3290.4521056005324,4120.6721845068805,1.2523118563231075,0.0204,0.32459387340984225,1.6903698325741012,1558.1745,7.924,3875.467,1558.1745_7.924,1558.1745_7.924,1
1562.1488_7.418,6018.497902461405,9288.319488141247,1.5432952937214737,6.05e-4,0.626014133216369,3.218244625347531,1562.1488,7.418,7449.899,1562.1488_7.418,1562.1488_7.418,1
1562.1493_7.418,5898.809687310565,9480.784389414783,1.6072368650593543,6.86e-4,0.6845825605404611,3.1636758842932484,1562.1493,7.418,7449.899,1562.1493_7.418,1562.1493_7.418,1
1563.1535_7.418,5993.957959145807,9045.756003728806,1.509145720637972,6.15e-5,0.5937321168597434,4.211124884224583,1563.1535,7.418,7013.9478,1563.1535_7.418,1563.1535_7.418,1
1563.2185_8.966,16374.9828146917,20647.27255927714,1.26090346432317,0.00274,0.33445782612334124,2.562249437179612,1563.2185,8.966,20234.842,Cluster_1563.2185_8.966,1563.2185_8.966;1564.2222_8.965,2
1564.1662_7.508,4751.540258269177,5766.467136920475,1.2135995537205027,0.0075,0.27929246017242254,2.1249387366083,1564.1662,7.508,5481.1963,1564.1662_7.508,1564.1662_7.508,1
1566.1816_7.932,2793.6453861811387,3654.225309101821,1.3080490914049328,0.00318,0.38741668655267014,2.4975728800155674,1566.1816,7.932,3382.725,1566.1816_7.932,1566.1816_7.932,1
1567.1909_7.931,2976.443334778727,3633.8589373056107,1.220872876982137,0.00254,0.28791298796221726,2.595166283380062,1567.1909,7.931,3484.901,1567.1909_7.931,1567.1909_7.931,1
1572.1304_7.394,3091.5487721008017,3704.305382221821,1.1982037662322347,0.00257,0.2608732733478012,2.5900668766687054,1572.1304,7.394,3456.18,1572.1304_7.394,1572.1304_7.394,1
1574.1454_7.378,5512.977507168267,7170.149719035652,1.300594771103753,0.015,0.37917152870793125,1.8239087409443189,1574.1454,7.378,6717.3706,1574.1454_7.378,1574.1454_7.378,1
1574.2638_8.923,12078.301968781296,8690.749900485253,0.7195340804484086,3.82e-4,-0.47486507362090274,3.417936637088291,1574.2638,8.923,11068.217,Cluster_1574.2638_8.923,1573.2611_8.925;1574.2638_8.923,2
1578.178_7.924,3759.591800229818,4562.617085557264,1.213593743150083,0.00118,0.2792855527035035,2.9281179926938745,1578.178,7.924,4614.674,1578.178_7.924,1578.178_7.924,1
1579.649_7.139,7647.962589700269,6298.080861190176,0.823497864604095,0.0223,-0.2801631859546475,1.6516951369518393,1579.649,7.139,6805.1587,1579.649_7.139,1579.649_7.139,1
1579.6508_7.286,7602.28464789133,8796.536021220665,1.1570911151900356,0.0318,0.21050247400210448,1.4975728800155672,1579.6508,7.286,9023.844,1579.6508_7.286,1579.6508_7.286,1
1580.1032_7.792,3046.4426823963895,3893.1260427949105,1.277925255344868,0.0106,0.3538034568664582,1.9746941347352298,1580.1032,7.792,3341.0042,1580.1032_7.792,1580.1032_7.792,1
1580.159_7.285,19266.201301551675,24543.081379361814,1.273893124815692,0.00833,0.3492442455956699,2.0793549985932125,1580.159,7.285,23399.531,1580.159_7.285,1580.159_7.285,1
1583.178_7.489,4769.111834210351,5714.866098431779,1.1983082588747938,0.0292,0.2609990820362163,1.5346171485515816,1583.178,7.489,5770.713,Cluster_1583.178_7.489,1583.1777_7.489;1583.178_7.489,2
1585.2008_8.971,6837.421120729042,8728.490885334502,1.2765764651927458,5.67e-4,0.35227995580254945,3.2464169411070936,1585.2008,8.971,8683.428,1585.2008_8.971,1585.2008_8.971,1
1586.2043_8.972,7436.635237328432,9273.587119088357,1.2470138474103565,6.76e-4,0.31847748560008493,3.170053304058364,1586.2043,8.972,9292.398,1586.2043_8.972,1586.2043_8.972,1
1590.143_7.137,25851.70642798956,21504.86839595073,0.8318548895738456,0.0276,-0.2655962111734666,1.5590909179347823,1590.143,7.137,25182.922,1590.143_7.137,1590.143_7.137,1
1591.1826_7.956,3639.649489438478,4454.939472332905,1.2240023346369568,0.00155,0.29160630980012986,2.8096683018297086,1591.1826,7.956,4166.5996,1591.1826_7.956,1591.1826_7.956,1
1591.2114_7.764,5033.857745565638,5855.059459310694,1.1631356616043549,0.0123,0.2180193744634577,1.9100948885606022,1591.2114,7.764,5984.256,1591.2114_7.764,1591.2114_7.764,1
1593.594_6.87,3814.9485940753607,4428.752062059393,1.1608942959119484,0.0334,0.21523661500603283,1.4762535331884354,1593.594,6.87,5232.282,1593.594_6.87,1593.594_6.87,1
1596.3093_9.895,4366.352970170573,3166.6302578421296,0.7252346018463148,0.00826,-0.4634803353855527,2.0830199526796176,1596.3093,9.895,3767.729,1596.3093_9.895,1596.3093_9.895,1
1597.3131_9.894,4593.509670277488,3317.91025650084,0.7223039668272668,0.0103,-0.46932200133743557,1.9871627752948278,1597.3131,9.894,4084.5212,1597.3131_9.894,1597.3131_9.894,1
1598.1451_7.197,2711.7701623887224,3409.9712950930193,1.2574706154629531,0.0125,0.33052468756862285,1.9030899869919435,1598.1451,7.197,3094.0352,1598.1451_7.197,1598.1451_7.197,1
1604.1937_7.739,4753.050850520409,5583.968073091107,1.1748176589526118,0.0196,0.2324368564171178,1.7077439286435239,1604.1937,7.739,4994.7393,1604.1937_7.739,1604.1937_7.739,1
